X1,Name,judge_country,number,segment,skater,skater_country,TSS
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Zagorski/Guerreiro,RUS,64
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Zagorski/Guerreiro,RUS,67.4
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Zagorski/Guerreiro,RUS,67.6
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Zagorski/Guerreiro,RUS,67.2
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Zagorski/Guerreiro,RUS,65.8
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Zagorski/Guerreiro,RUS,67.4
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Zagorski/Guerreiro,RUS,64.4
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Zagorski/Guerreiro,RUS,65.7
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Zagorski/Guerreiro,RUS,67.5
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Kaliszek/Spodyriev,POL,63.4
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Kaliszek/Spodyriev,POL,66.3
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Kaliszek/Spodyriev,POL,66.7
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Kaliszek/Spodyriev,POL,64.8
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Kaliszek/Spodyriev,POL,63.7
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Kaliszek/Spodyriev,POL,67.6
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Kaliszek/Spodyriev,POL,65.5
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Kaliszek/Spodyriev,POL,65.6
