"","name","country"
"506","Hely ABBONDATI","FIN"
"507","David MUNOZ","ESP"
"508","Gloria MORANDI","ITA"
"509","Alla SHEKHOVTSEVA","RUS"
"510","Lolita LABUNSKAIYA","RUS"
"511","Anu NIINIRANTA","ISU"
"512","Katarina GROF MITROVIC","ISU"
"513","Donatella LEONELLI","SUI"
"514","Pirjo ELO","FIN"
"515","Albert ZAYDMAN","ISR"
"516","Makoto KANO","JPN"
"517","Ana-Maria SARE","CRO"
"518","Kathleen HARMON","USA"
"519","Tae Ri LEE","KOR"
"520","Allan BOEHM","SVK"
"521","Mami MAEDA","JPN"
"522","Rossella CECCATTINI","ITA"
"523","Yaqin JI","CHN"
"524","Joan H. GRUBER","USA"
"525","Marina BESCHEA","ROM"
"526","Hermann SCHULZ","GER"
"527","Wanda STANKOVIANSKA","ISU"
"528","Irina KIREEVA","AZE"
"529","Elena SAVOSTOVA","ISU"
"530","Igor OBRAZTSOV","RUS"
"531","Veronique TOLAZZI","FRA"
"532","Bettina MEIER","SUI"
"533","Erica SONDEREGGER","ISU"
"534","Vera TAUCHMANOVA","CZE"
"535","Nicole MAAS","NED"
"536","Maria TUMANOVSKAYA-CHAIKA","ISU"
"537","Christa GUNSAM","ISU"
"538","Natasa SKOK","SLO"
"539","Taffy HOLLIDAY","USA"
"540","Monica MACDONALD","ISU"
"541","Janice HUNTER","CAN"
"542","Anne CAMMETT","USA"
"543","Marco BUTTARELLI","ITA"
"544","Istvan SUGAR","HUN"
"545","Heinz-Ulrich WALTHER","GER"
"546","Wei SHI","CHN"
"547","Lone AMSTRUP LINNEMANN","DEN"
"548","Robyn S. NOTT","ISU"
"549","Matjaz KRUSEC","SLO"
"550","Fan YANG","CHN"
"551","Sophie SCHMITT","FRA"
"552","Jae-Eun CHUNG","ISU"
"553","Leena KURRI","FIN"
"554","Joseph L. INMAN","USA"
"555","Maria BAEKGAARD KJAER","ISU"
"556","Charles Z. CYR","USA"
"557","Ivana JAKUPCEVIC","ISU"
"558","Todd BROMLEY","USA"
